WITH GAINS AS KP 1000 KD 100 KI 0


15014,0.00000,0.00000,0.00000,0.00000
17495,0.00000,-0.00000,0.01875,0.00000
19993,0.00000,-0.00001,0.02250,0.00001
22493,0.00000,-0.00001,0.02625,0.00001
24993,0.00000,-0.00001,0.03000,0.00001
27493,0.00000,-0.00002,0.03375,0.00002
29993,0.00000,-0.00002,0.04375,0.00002
32493,0.00000,-0.00003,0.04875,0.00003
34993,0.00000,-0.00003,0.04750,0.00003
37493,0.00000,-0.00004,0.04500,0.00004
39993,0.00000,-0.00004,0.06000,0.00004
42493,0.00000,-0.00004,0.05250,0.00004
44993,0.00000,-0.00005,0.05500,0.00005
47493,0.00000,-0.00005,0.07000,0.00005
49993,0.00000,-0.00006,0.07500,0.00006
52493,0.00000,-0.00006,0.07375,0.00006
54993,0.00000,-0.00006,0.07750,0.00006
57493,0.00000,-0.00007,0.08750,0.00007
59993,0.00000,-0.00007,0.08625,0.00007
62493,0.00000,-0.00008,0.09000,0.00008
64993,0.00000,-0.00008,0.09375,0.00008
67493,0.00000,-0.00008,0.07875,0.00008
69993,0.00000,-0.00008,0.08500,0.00008
72493,0.00000,-0.00008,0.08000,0.00008
74993,0.00000,-0.00008,0.08625,0.00008
77493,0.00000,-0.00008,0.08125,0.00008
79993,0.00000,-0.00008,0.08125,0.00008
82493,0.00000,-0.00008,0.07500,0.00008
84993,0.00000,-0.00008,0.07375,0.00008
87493,0.00000,-0.00008,0.08500,0.00008
89993,0.00000,-0.00008,0.07375,0.00008
92493,0.00000,-0.00008,0.09125,0.00008
94993,0.00000,-0.00008,0.08750,0.00008
97493,0.00000,-0.00008,0.07625,0.00008
99993,0.00000,-0.00008,0.07500,0.00008
102493,0.00000,-0.00008,0.08000,0.00008
104993,0.00000,-0.00008,0.08000,0.00008
107493,0.00000,-0.00008,0.07375,0.00008
109993,0.00000,-0.00008,0.08500,0.00008
112493,0.00000,-0.00008,0.08625,0.00008
114993,0.00000,-0.00008,0.08750,0.00008
117493,0.00000,-0.00008,0.08250,0.00008
119993,0.00000,-0.00008,0.07000,0.00008
122493,0.00000,-0.00008,0.08000,0.00008
124993,0.00000,-0.00008,0.07375,0.00008
127493,0.00000,-0.00008,0.08500,0.00008
129993,0.00000,-0.00008,0.08000,0.00008
132493,0.00000,-0.00008,0.08000,0.00008
134993,0.00000,-0.00008,0.08625,0.00008
137493,0.00000,-0.00008,0.07500,0.00008
139993,0.00000,-0.00008,0.08000,0.00008
142493,0.00000,-0.00008,0.06750,0.00008
144993,0.00000,-0.00008,0.07750,0.00008
147493,0.00000,-0.00008,0.07125,0.00008
149993,0.00000,-0.00008,0.07625,0.00008
152493,0.00000,-0.00008,0.08875,0.00008
154993,0.00000,-0.00008,0.07875,0.00008
157493,0.00000,-0.00008,0.07875,0.00008
159993,0.00000,-0.00008,0.06625,0.00008
162493,0.00000,-0.00008,0.07625,0.00008
164993,0.00000,-0.00008,0.07000,0.00008
167493,0.00000,-0.00008,0.07500,0.00008
